id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description	verified	verified_note
us-sec-edgar-submissions-overflow	https://data.sec.gov/submissions/CIK0000320193-submissions-001.json	json:accessionNumber[]	1000	SEC EDGAR submissions overflow pages		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	The older-filings continuation file named in the parent submissions JSON's filings.files[] array. Parallel arrays: accessionNumber, filingDate, reportDate, acceptanceDateTime, act, form, fileNumber, filmNumber, items, size, isXBRL, isInlineXBRL, primaryDocument, primaryDocDescription. Without this hop you only ever see the ~1,000 most recent filings of a CIK; with it you reach the full filing history back to 1993.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-edgar-filing-folder-index	https://www.sec.gov/Archives/edgar/data/320193/000114036126032884/index.json	json:directory.item	5	SEC EDGAR per-filing document index		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Turns one accession number into the full document manifest of that filing: name, type, size, last-modified for every exhibit, the raw .txt dissemination file, the -index-headers.html, the XBRL zip and the primary XML. This is the hop that gets you from 'a filing exists' to the actual exhibit files (Form 4 ownership XML, 13F information table, credit agreements, subsidiary lists).  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-edgar-cik-folder-index	https://www.sec.gov/Archives/edgar/data/320193/index.json	json:directory.item	100	SEC EDGAR company archive folder listing		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Directory listing of every accession folder ever filed under a CIK, with last-modified timestamps. Folder name is the accession number without dashes, which is exactly the key the per-filing index.json needs. Useful when you have a CIK but no submissions JSON, and for detecting new filings by timestamp.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-edgar-form4-ownership-xml	https://www.sec.gov/Archives/edgar/data/320193/000114036126032884/form4.xml	json:html	1	SEC EDGAR Form 3/4/5 insider ownership XML		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy	86400	XML (served as text) with issuerCik/issuerName/issuerTradingSymbol, reportingOwnerId (rptOwnerCik, rptOwnerName, address), reportingOwnerRelationship (isDirector/isOfficer/isTenPercentOwner/officerTitle), and every nonDerivativeTransaction / derivativeTransaction with security title, transaction date, code, shares, price per share and shares owned following the transaction. This is the officer-and-beneficial-owner layer behind a listed company.	no	pending-independent-probe
us-sec-edgar-13f-information-table	https://www.sec.gov/Archives/edgar/data/1067983/000119312526352200/56757.xml	json:html	120	SEC EDGAR 13F-HR information table		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy	86400	Position-by-position institutional holdings XML behind a 13F-HR filing: nameOfIssuer, titleOfClass, CUSIP, market value, sshPrnamt/sshPrnamtType, putCall, investmentDiscretion, otherManager index and votingAuthority Sole/Shared/None. Resolves 'which fund owns how much of which company' at security level. The file name comes from the filing folder index.json.	no	pending-independent-probe
us-sec-xbrl-frames	https://data.sec.gov/api/xbrl/frames/us-gaap/Assets/USD/CY2024Q4I.json	json:data	6254	SEC XBRL frames (cross-company fact slice)		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Inverts companyfacts: one XBRL tag + unit + calendar period returns EVERY filer that reported it, as accn, cik, entityName, loc (state/country), end date and val. 6,254 companies for Assets CY2024Q4I, 3,767 for AccountsPayableCurrent CY2023Q1I. Lets you rank or screen all US registrants on a single financial-statement line and gives you the accession + CIK to hop into each filing.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-xbrl-frames-annual	https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2024.json	json:data	800	SEC XBRL frames annual duration slice		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Same frames mechanism for duration (flow) tags rather than instant tags: CY2024 revenues for every filer that tagged us-gaap:Revenues, with accn, cik, entityName, loc, start, end, val. Period format CY{yyyy} for annual, CY{yyyy}Q{n} for quarterly duration, CY{yyyy}Q{n}I for instant.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-company-tickers-exchange	https://www.sec.gov/files/company_tickers_exchange.json	json:data	12000	SEC ticker-CIK-exchange master file		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Columnar variant (fields: cik, name, ticker, exchange; data: array of 4-element rows) that additionally carries the listing venue - Nasdaq, NYSE, NYSE American, CBOE, OTC. Lets you filter a universe by exchange before pivoting into filings.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-company-tickers-mutualfund	https://www.sec.gov/files/company_tickers_mf.json	json:data	30000	SEC mutual-fund series/class ticker file		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Fields cik, seriesId (S000nnnnnn), classId (C000nnnnnn), symbol - the full registrant -> fund series -> share class -> ticker tree for every registered investment company. Resolves a fund ticker to the filing entity CIK and to the series/class ids used in N-PORT, N-CEN and 485BPOS filings.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-edgar-full-index-form	https://www.sec.gov/Archives/edgar/full-index/2025/QTR1/form.idx	csv	300000	SEC EDGAR quarterly full index (by form type)		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Fixed-width text index of every filing disseminated in a quarter: Form Type, Company Name, CIK, Date Filed, File Name (edgar/data/{cik}/{accession}.txt). 5.3 MB for 2025 QTR1. The bulk backbone - sweep all 8-Ks, all SC 13Ds, all Form Ds for a quarter without a single search query. Sibling files company.idx, master.idx, xbrl.idx in the same folder.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-edgar-daily-index	https://www.sec.gov/Archives/edgar/daily-index/2025/QTR1/index.json	json:directory.item	60	SEC EDGAR daily index directory		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	JSON listing of the per-day index files (company.YYYYMMDD.idx, form.YYYYMMDD.idx, master.YYYYMMDD.idx, crawler., sitemap.) with size and last-modified. Drives day-granular incremental collection: poll this, fetch only the new .idx, then hop into each accession.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-browse-edgar-company-atom	https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000320193&type=10-K&dateb=&owner=include&count=5&output=atom	atom	5	SEC EDGAR browse-edgar company filing feed		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Atom feed carrying a <company-info> block (business and mailing addresses with phone, assigned SIC + description, state of incorporation, former names, fiscal year end, IRS number) plus one <entry> per filing with accession-number, filing-date, filing-href, file-number, act and size. The address/SIC block is data the JSON submissions file presents differently and the former-names history is genuinely useful for entity resolution.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-browse-edgar-state-sic	https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&State=NY&SIC=6022&type=10-K&dateb=&owner=include&count=5&output=atom	atom	5	SEC EDGAR registrant search by state + SIC		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Atom list of every registrant located in a US state and classified under a given SIC code, each entry giving cik, sic, state and a link back into that company's filing list. Enumerates a whole industry sector (6022 = state commercial banks, 7372 = prepackaged software) rather than starting from a known name.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-browse-edgar-company-name	https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=apple&type=10-K&dateb=&owner=include&count=10&output=atom	atom	10	SEC EDGAR registrant name search		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Name-prefix search over EDGAR registrants returning company-info (addresses, phone, SIC, state of incorporation, former names) and CIK. The name -> CIK pivot for non-listed filers that never appear in company_tickers.json (private issuers, funds, foreign private issuers, Form D filers).  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-browse-edgar-getcurrent	https://www.sec.gov/cgi-bin/browse-edgar?action=getcurrent&type=8-K&company=&dateb=&owner=include&count=20&action=getcurrent&output=atom	atom	20	SEC EDGAR latest-filings live feed		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	Real-time feed of filings as they are accepted: title carries form type + company name + CIK + filer role, summary carries filing date, accession number, size and the 8-K item numbers disclosed (2.02 Results of Operations, 5.02 Departure of Directors, 1.01 Material Agreement). Link points straight at the accession index. Filterable by type=.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-own-disp-issuer	https://www.sec.gov/cgi-bin/own-disp?action=getissuer&CIK=0000320193&type=&dateb=&owner=include&count=40	html	40	SEC EDGAR ownership display - insiders of an issuer		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	HTML table of every Section 16 reporting person for a company: insider name, their own CIK, relationship (Director / Officer / 10% Owner), officer title, and each transaction (date, form type, transaction code, shares, price, ownership form D/I, shares held after). This is literally 'the officers behind the company' with a CIK for each one to pivot on.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
us-sec-own-disp-owner	https://www.sec.gov/cgi-bin/own-disp?action=getowner&CIK=0001214156&type=&dateb=&owner=include&count=40	html	40	SEC EDGAR ownership display - all issuers of one insider		us_corporate	corporate	en	us,corporate,batch16,high-penetrancy,detail-hop	86400	The reverse hop: given an individual's CIK (e.g. 0001214156 = COOK TIMOTHY D) it lists every issuer that person files Section 16 reports for, with relationship and every transaction. Maps one natural person across all the public companies where they sit as director, officer or 10% holder - the cross-directorship graph.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.	no	pending-independent-probe
