id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description	verified	verified_note
jp-jma-warning-011000	https://www.jma.go.jp/bosai/warning/data/warning/011000.json	json-object		JMA Warnings and Advisories — Souya, Hokkaido	気象庁 警報・注意報 宗谷地方	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,011000	900	Live warning/advisory state for every municipality in Souya, Hokkaido (JMA office 011000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-011000	https://www.jma.go.jp/bosai/forecast/data/overview_week/011000.json	json-object		JMA Weekly Outlook Narrative — Souya, Hokkaido	気象庁 週間天気概況 宗谷地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,011000	10800	Weekly forecast narrative issued by the JMA office for Souya, Hokkaido (011000): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-012000	https://www.jma.go.jp/bosai/warning/data/warning/012000.json	json-object		JMA Warnings and Advisories — Kamikawa/Rumoi, Hokkaido	気象庁 警報・注意報 上川・留萌地方	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,012000	900	Live warning/advisory state for every municipality in Kamikawa/Rumoi, Hokkaido (JMA office 012000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-012000	https://www.jma.go.jp/bosai/forecast/data/overview_week/012000.json	json-object		JMA Weekly Outlook Narrative — Kamikawa/Rumoi, Hokkaido	気象庁 週間天気概況 上川・留萌地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,012000	10800	Weekly forecast narrative issued by the JMA office for Kamikawa/Rumoi, Hokkaido (012000): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-013000	https://www.jma.go.jp/bosai/warning/data/warning/013000.json	json-object		JMA Warnings and Advisories — Abashiri/Kitami/Monbetsu, Hokkaido	気象庁 警報・注意報 網走・北見・紋別地方	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,013000	900	Live warning/advisory state for every municipality in Abashiri/Kitami/Monbetsu, Hokkaido (JMA office 013000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-013000	https://www.jma.go.jp/bosai/forecast/data/overview_week/013000.json	json-object		JMA Weekly Outlook Narrative — Abashiri/Kitami/Monbetsu, Hokkaido	気象庁 週間天気概況 網走・北見・紋別地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,013000	10800	Weekly forecast narrative issued by the JMA office for Abashiri/Kitami/Monbetsu, Hokkaido (013000): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-014100	https://www.jma.go.jp/bosai/warning/data/warning/014100.json	json-object		JMA Warnings and Advisories — Kushiro/Nemuro/Tokachi, Hokkaido	気象庁 警報・注意報 釧路・根室・十勝地方	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,014100	900	Live warning/advisory state for every municipality in Kushiro/Nemuro/Tokachi, Hokkaido (JMA office 014100): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-014100	https://www.jma.go.jp/bosai/forecast/data/overview_week/014100.json	json-object		JMA Weekly Outlook Narrative — Kushiro/Nemuro/Tokachi, Hokkaido	気象庁 週間天気概況 釧路・根室・十勝地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,014100	10800	Weekly forecast narrative issued by the JMA office for Kushiro/Nemuro/Tokachi, Hokkaido (014100): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-015000	https://www.jma.go.jp/bosai/warning/data/warning/015000.json	json-object		JMA Warnings and Advisories — Tokachi, Hokkaido	気象庁 警報・注意報 十勝地方	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,015000	900	Live warning/advisory state for every municipality in Tokachi, Hokkaido (JMA office 015000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-015000	https://www.jma.go.jp/bosai/forecast/data/overview_week/015000.json	json-object		JMA Weekly Outlook Narrative — Tokachi, Hokkaido	気象庁 週間天気概況 十勝地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,015000	10800	Weekly forecast narrative issued by the JMA office for Tokachi, Hokkaido (015000): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-016000	https://www.jma.go.jp/bosai/warning/data/warning/016000.json	json-object		JMA Warnings and Advisories — Ishikari/Sorachi/Shiribeshi, Hokkaido	気象庁 警報・注意報 石狩・空知・後志地方	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,016000	900	Live warning/advisory state for every municipality in Ishikari/Sorachi/Shiribeshi, Hokkaido (JMA office 016000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-016000	https://www.jma.go.jp/bosai/forecast/data/overview_week/016000.json	json-object		JMA Weekly Outlook Narrative — Ishikari/Sorachi/Shiribeshi, Hokkaido	気象庁 週間天気概況 石狩・空知・後志地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,016000	10800	Weekly forecast narrative issued by the JMA office for Ishikari/Sorachi/Shiribeshi, Hokkaido (016000): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-017000	https://www.jma.go.jp/bosai/warning/data/warning/017000.json	json-object		JMA Warnings and Advisories — Iburi/Hidaka, Hokkaido	気象庁 警報・注意報 胆振・日高地方	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,017000	900	Live warning/advisory state for every municipality in Iburi/Hidaka, Hokkaido (JMA office 017000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-017000	https://www.jma.go.jp/bosai/forecast/data/overview_week/017000.json	json-object		JMA Weekly Outlook Narrative — Iburi/Hidaka, Hokkaido	気象庁 週間天気概況 胆振・日高地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,017000	10800	Weekly forecast narrative issued by the JMA office for Iburi/Hidaka, Hokkaido (017000): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-020000	https://www.jma.go.jp/bosai/warning/data/warning/020000.json	json-object		JMA Warnings and Advisories — Aomori Prefecture	気象庁 警報・注意報 青森県	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,020000	900	Live warning/advisory state for every municipality in Aomori Prefecture (JMA office 020000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-020000	https://www.jma.go.jp/bosai/forecast/data/overview_week/020000.json	json-object		JMA Weekly Outlook Narrative — Aomori Prefecture	気象庁 週間天気概況 青森県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,020000	10800	Weekly forecast narrative issued by the JMA office for Aomori Prefecture (020000): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-030000	https://www.jma.go.jp/bosai/warning/data/warning/030000.json	json-object		JMA Warnings and Advisories — Iwate Prefecture	気象庁 警報・注意報 岩手県	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,030000	900	Live warning/advisory state for every municipality in Iwate Prefecture (JMA office 030000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
jp-jma-overview-week-030000	https://www.jma.go.jp/bosai/forecast/data/overview_week/030000.json	json-object		JMA Weekly Outlook Narrative — Iwate Prefecture	気象庁 週間天気概況 岩手県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,030000	10800	Weekly forecast narrative issued by the JMA office for Iwate Prefecture (030000): headline text, publishing office and report timestamp.	no	egress-blocked-at-authoring
jp-jma-warning-040000	https://www.jma.go.jp/bosai/warning/data/warning/040000.json	json-object		JMA Warnings and Advisories — Miyagi Prefecture	気象庁 警報・注意報 宮城県	jp_prefectural	disaster	ja	japan,prefecture,jma,warning,disaster,040000	900	Live warning/advisory state for every municipality in Miyagi Prefecture (JMA office 040000): warning codes, issue times and the per-area breakdown as published by the Japan Meteorological Agency.	no	egress-blocked-at-authoring
