id	url	verdict	kind	items	http	bytes	note
ALERCE_ZTF_OBJECTS	https://api.alerce.online/ztf/v1/objects?page_size=100&order_by=lastmjd&order_mode=DESC	TIMEOUT		0	0	0	timeout
AP19_SPREP_KIRIBATI	https://kiribati-data.sprep.org/jsonapi/dataset/dataset?page%5Blimit%5D=50	NET_ERR		0	0	0	[Errno -5] No address associated with hostname
AP19_SPREP_RMI	https://rmi-data.sprep.org/jsonapi/dataset/dataset?page%5Blimit%5D=50	HTTP_ERR		0	526	0	<none>
AR_DATOS_BUENOS_AIRES_PROV	https://catalogo.datos.gba.gob.ar/api/3/action/package_search?rows=100	UNPARSEABLE		0	200	80922	"{""help"": ""https://catalogo.datos.gba.gob.ar/api/3/action/help_show?name=package_"
AR_IGN_ANIDA_CARGA	https://ide.ign.gob.ar/geoservicios/rest/services/ANIDA/aeropuertos_de_carga/MapServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000	HTTP_ERR		0	503	0	Service Unavailable
CAPMAS_NEWS_RELEASES	https://www.capmas.gov.eg:8080/api/news	HTTP_ERR		0	500	0	Internal Server Error
CDC_FLUVIEW_SEASON_INDEX	https://gis.cdc.gov/grasp/flu2/GetPhase02InitApp?appVersion=Public	HTTP_ERR		0	404	0	Not Found
CELESTRAK_GEO_REPORT	https://celestrak.org/NORAD/elements/gp.php?SPECIAL=gpz&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_AST	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=ast&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_CPF	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=cpf&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_CSS	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=css&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_EUMETSAT	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=eumetsat&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_GLONASS	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=glonass&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_INTELSAT	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=intelsat&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_IRIDIUM	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=iridium&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_ISS	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=iss&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_KUIPER	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=kuiper&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_ONEWEB	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=oneweb&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_ORBCOMM	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=orbcomm&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_PLANET	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=planet&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_SES	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=ses&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_STARLINK	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=starlink&FORMAT=json	NET_ERR		0	0	0	timed out
CELESTRAK_SUP_TELESAT	https://celestrak.org/NORAD/elements/supplemental/sup-gp.php?FILE=telesat&FORMAT=json	NET_ERR		0	0	0	timed out
EC_IGM_FISCALIZACION	https://www.geoportaligm.gob.ec/geoserver/wfs?service=WFS&version=1.0.0&request=GetFeature&typeName=fiscalizacion:fiscalizacion&maxFeatures=1000&outputFormat=application%2Fjson	HTTP_ERR		0	503	0	Service Unavailable
EFTA_COURT_CASES	https://www.eftacourt.int/cases/	UNPARSEABLE		0	200	83200	"<!doctype html><html class=no-js lang=en><head><meta charset=""UTF-8""><meta http-"
FDSN_AVAILABILITY_NCEDC	https://service.ncedc.org/fdsnws/availability/1/extent?sta=BKS&start=1980-01-01&end=2026-08-01&format=json	TIMEOUT		0	0	0	timeout
GH_DATA_GOV_GH_DATASETS	http://data.gov.gh/api/dataset/node.json?parameters%5Btype%5D=dataset&page=0	HTTP_ERR		0	404	0	Not Found
GH_DATA_GOV_GH_RESOURCES	http://data.gov.gh/api/3/action/current_package_list_with_resources?limit=50	HTTP_ERR		0	404	0	Not Found
MA_IMIST_TOUBKAL_THESES	https://toubkal.imist.ma/server/api/discover/search/objects?query=maroc&size=50	ERR		0	0	0	IncompleteRead: IncompleteRead(44564 bytes read)
MX_CONAGUA_REPDA_DESCARGAS	https://sigagis.conagua.gob.mx/ArcGIS/rest/services/REPDA_21/Descargas_enero_2021/MapServer/0/query?where=NOMESTADO%3D%27JALISCO%27&outFields=*&f=json&returnGeometry=false	HTTP_ERR		0	302	0	The HTTP server returned a redirect error that would lead to
MX_CONAGUA_REPDA_SUBTERRANEA	https://sigagis.conagua.gob.mx/ArcGIS/rest/services/REPDA_21/A_Subterr%C3%A1neos_enero_2021/MapServer/0/query?where=NOMESTADO%3D%27JALISCO%27&outFields=*&f=json&returnGeometry=false	HTTP_ERR		0	403	0	Forbidden
MX_CONAGUA_REPDA_SUPERFICIAL	https://sigagis.conagua.gob.mx/ArcGIS/rest/services/REPDA_21/A_Superficiales_enero_2021/MapServer/0/query?where=NOMESTADO%3D%27SONORA%27&outFields=*&f=json&returnGeometry=false	HTTP_ERR		0	302	0	The HTTP server returned a redirect error that would lead to
MZ_UP_MAPUTO_REPOSITORY	https://repositorio.up.ac.mz/server/api/discover/search/objects?query=mocambique&size=50	NET_ERR		0	0	0	[Errno -3] Temporary failure in name resolution
OSTI_RECORDS_SEARCH	https://www.osti.gov/api/v1/records?q=reactor&rows=100	NET_ERR		0	0	0	timed out
OVERPASS_AIRCRAFT_HANGAR	https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22aeroway%22%3D%22hangar%22%5D%2851.3%2C-0.6%2C51.7%2C0.3%29%3Bout%20center%20meta%20100%3B	HTTP_ERR		0	429	0	Too Many Requests
OVERPASS_AIRPORT_TERMINAL	https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22aeroway%22%3D%22terminal%22%5D%2851.3%2C-0.6%2C51.7%2C0.3%29%3Bout%20center%20meta%20100%3B	HTTP_ERR		0	429	0	Too Many Requests
OVERPASS_AIRSTRIP	https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22aeroway%22%3D%22airstrip%22%5D%2860.0%2C-152.0%2C62.0%2C-148.0%29%3Bout%20center%20meta%20100%3B	HTTP_ERR		0	429	0	Too Many Requests
OVERPASS_AMBULANCE_STATION	https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22emergency%22%3D%22ambulance_station%22%5D%2850.9%2C6.5%2C52.0%2C8.0%29%3Bout%20center%20meta%20100%3B	NET_ERR		0	0	0	[Errno 111] Connection refused
