id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description
lat-amandala-bz	https://amandala.com.bz/news/feed/	rss	10	Amandala - Belizean news	ベリーズ：ニュース - Amandala - Belizean news	latam_news	news	en	blz,news,news	3600	Publisher-own news feed from Amandala; article headlines, timestamps, links and summaries.
lat-aneel-recent	https://dadosabertos.aneel.gov.br/api/3/action/current_package_list_with_resources?limit=100	json:result	71	ANEEL Dados Abertos - recently updated datasets	ブラジル：オープンデータ - ANEEL Dados Abertos - recently updated datasets	latam_data	opendata	pt	bra,opendata,data	21600	CKAN current_package_list_with_resources: most recently modified datasets with their full resource list and download URLs.
lat-anvisa-rss	https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/RSS	rss	15	ANVISA - health regulator announcements	ブラジル：保健 - ANVISA - health regulator announcements	latam_gov	health	pt	bra,health,gov	3600	Brazilian health surveillance agency notices: product recalls, registrations and enforcement actions.
lat-ar-ckan-agro	https://datos.gob.ar/api/3/action/package_search?q=agricultura&rows=100	json:result.results	100	Datos Argentina - agriculture datasets	アルゼンチン：オープンデータ - Datos Argentina - agriculture datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'agricultura': matching dataset titles, organisations and resource download URLs.
lat-ar-ckan-ambiente	https://datos.gob.ar/api/3/action/package_search?q=ambiente&rows=100	json:result.results	82	Datos Argentina - environment datasets	アルゼンチン：オープンデータ - Datos Argentina - environment datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'ambiente': matching dataset titles, organisations and resource download URLs.
lat-ar-ckan-covid	https://datos.gob.ar/api/3/action/package_search?q=presupuesto&rows=100	json:result.results	54	Datos Argentina - budget datasets	アルゼンチン：オープンデータ - Datos Argentina - budget datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'presupuesto': matching dataset titles, organisations and resource download URLs.
lat-ar-ckan-economia	https://datos.gob.ar/api/3/action/package_search?q=economia&rows=100	json:result.results	100	Datos Argentina - economy datasets	アルゼンチン：オープンデータ - Datos Argentina - economy datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'economia': matching dataset titles, organisations and resource download URLs.
lat-ar-ckan-energia	https://datos.gob.ar/api/3/action/package_search?q=energia&rows=100	json:result.results	100	Datos Argentina - energy datasets	アルゼンチン：オープンデータ - Datos Argentina - energy datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'energia': matching dataset titles, organisations and resource download URLs.
lat-ar-ckan-justicia	https://datos.gob.ar/api/3/action/package_search?q=justicia&rows=100	json:result.results	75	Datos Argentina - justice datasets	アルゼンチン：オープンデータ - Datos Argentina - justice datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'justicia': matching dataset titles, organisations and resource download URLs.
lat-ar-ckan-recent	https://datos.gob.ar/api/3/action/current_package_list_with_resources?limit=100	json:result	100	Datos Argentina - recently updated datasets	アルゼンチン：オープンデータ - Datos Argentina - recently updated datasets	latam_data	opendata	es	arg,opendata,data	21600	CKAN current_package_list_with_resources: most recently modified datasets with their full resource list and download URLs.
lat-ar-ckan-salud	https://datos.gob.ar/api/3/action/package_search?q=salud&rows=100	json:result.results	100	Datos Argentina - health datasets	アルゼンチン：オープンデータ - Datos Argentina - health datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'salud': matching dataset titles, organisations and resource download URLs.
lat-ar-ckan-seguridad	https://datos.gob.ar/api/3/action/package_search?q=seguridad&rows=100	json:result.results	100	Datos Argentina - public-security datasets	アルゼンチン：オープンデータ - Datos Argentina - public-security datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'seguridad': matching dataset titles, organisations and resource download URLs.
lat-ar-ckan-transporte	https://datos.gob.ar/api/3/action/package_search?q=transporte&rows=100	json:result.results	100	Datos Argentina - transport datasets	アルゼンチン：オープンデータ - Datos Argentina - transport datasets	latam_data	opendata	es	arg,opendata,data	43200	CKAN package_search filtered to 'transporte': matching dataset titles, organisations and resource download URLs.
lat-ar-perfil	https://www.perfil.com/feed	rss	50	Perfil - Argentine news	アルゼンチン：ニュース - Perfil - Argentine news	latam_news	news	es	arg,news,news	3600	Publisher-own news feed from Perfil; article headlines, timestamps, links and summaries.
lat-ar-tiempoar	https://www.tiempoar.com.ar/feed/	rss	10	Tiempo Argentino - news	アルゼンチン：ニュース - Tiempo Argentino - news	latam_news	news	es	arg,news,news	3600	Publisher-own news feed from Tiempo Argentino; article headlines, timestamps, links and summaries.
lat-banrep-rss	https://www.banrep.gov.co/rss.xml	rss	10	Banco de la Republica de Colombia - announcements	コロンビア：経済 - Banco de la Republica de Colombia - announcements	latam_gov	economy	es	col,economy,gov	21600	Colombian central bank policy decisions, inflation reports and statistical releases.
