id	list_url	detail_url	detail_key
af-nada-ng-nbs-microdata	https://microdata.nigerianstat.gov.ng/index.php/api/catalog/search?ps=100	https://microdata.nigerianstat.gov.ng/index.php/api/catalog/{v}	idno
af-nada-ng-nbs-citations	https://microdata.nigerianstat.gov.ng/index.php/api/citations?ps=100	https://microdata.nigerianstat.gov.ng/index.php/api/citations/{v}	id
af-nada-ke-knbs-microdata	https://statistics.knbs.or.ke/nada/index.php/api/catalog/search?ps=100	https://statistics.knbs.or.ke/nada/index.php/api/catalog/{v}	idno
af-nada-tz-nbs-microdata	https://microdata.nbs.go.tz/index.php/api/catalog/search?ps=100	https://microdata.nbs.go.tz/index.php/api/catalog/{v}	idno
af-nada-sl-stats-microdata	https://microdata.statistics.sl/index.php/api/catalog/search?ps=100	https://microdata.statistics.sl/index.php/api/catalog/{v}	idno
af-nada-bw-statsbots-microdata	https://microdata.statsbots.org.bw/index.php/api/catalog/search?ps=100	https://microdata.statsbots.org.bw/index.php/api/catalog/{v}	idno
af-wbmicro-ng	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Nigeria	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-ke	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Kenya	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-gh	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Ghana	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-za	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=South%20Africa	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-ug	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Uganda	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-tz	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Tanzania	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-zm	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Zambia	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-rw	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Rwanda	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-bw	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Botswana	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-na	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Namibia	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-wbmicro-et	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Ethiopia	https://microdata.worldbank.org/index.php/api/catalog/{v}	idno
af-ihsn-ng	https://catalog.ihsn.org/index.php/api/catalog/search?ps=50&country=Nigeria	https://catalog.ihsn.org/index.php/api/catalog/{v}	idno
af-ihsn-ke	https://catalog.ihsn.org/index.php/api/catalog/search?ps=50&country=Kenya	https://catalog.ihsn.org/index.php/api/catalog/{v}	idno
af-ihsn-gh	https://catalog.ihsn.org/index.php/api/catalog/search?ps=50&country=Ghana	https://catalog.ihsn.org/index.php/api/catalog/{v}	idno
af-ihsn-za	https://catalog.ihsn.org/index.php/api/catalog/search?ps=50&country=South%20Africa	https://catalog.ihsn.org/index.php/api/catalog/{v}	idno
af-ihsn-ug	https://catalog.ihsn.org/index.php/api/catalog/search?ps=50&country=Uganda	https://catalog.ihsn.org/index.php/api/catalog/{v}	idno
af-ihsn-tz	https://catalog.ihsn.org/index.php/api/catalog/search?ps=50&country=Tanzania	https://catalog.ihsn.org/index.php/api/catalog/{v}	idno
