id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description
af-nada-ke-knbs-microdata	https://statistics.knbs.or.ke/nada/index.php/api/catalog/search?ps=100	json:result.rows	100	Kenya KNBS — National Data Archive (microdata catalogue)		ke_statistics	statistics	en	ke,statistics,batch17,high-penetrancy,detail-hop	86400	129 KNBS surveys (KDHS 2022, FinAccess, Time Use, census products). Row: id, idno (DDI-KEN-KNBS-…), title, nation, authoring_entity, form_model (access class), year_start/end, total_views, total_downloads, created/changed, url. Detail by idno returns full DDI metadata including producers, version statement and authoring entities with affiliation.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-nada-tz-nbs-microdata	https://microdata.nbs.go.tz/index.php/api/catalog/search?ps=100	json:result.rows	62	Tanzania NBS — microdata catalogue		tz_statistics	statistics	en	tz,statistics,batch17,high-penetrancy,detail-hop	86400	62 Tanzanian statistical datasets including the 2023/24 Statistical Business Register Census (an enterprise register). Row: id, type (survey/document), idno, title, subtitle, nation, authoring_entity, year_start/end, varcount, views, downloads, url. Detail by idno gives the full DDI record.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-nada-sl-stats-microdata	https://microdata.statistics.sl/index.php/api/catalog/search?ps=100	json:result.rows	13	Statistics Sierra Leone — microdata catalogue		sl_statistics	statistics	en	sl,statistics,batch17,high-penetrancy,detail-hop	86400	13 Statistics Sierra Leone surveys. Row: id, type, idno (SL-SSL-…), title, subtitle, nation, authoring_entity, year_start/end, varcount, views, downloads, url. Detail by idno returns full DDI study description.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-nada-bw-statsbots-microdata	https://microdata.statsbots.org.bw/index.php/api/catalog/search?ps=100	json:result.rows	41	Statistics Botswana — microdata catalogue		bw_statistics	statistics	en	bw,statistics,batch17,high-penetrancy,detail-hop	86400	41 Statistics Botswana datasets (Quarterly Multi-Topic Household Survey labour modules, censuses). Row: id, type, idno, title, subtitle, nation, authoring_entity, year_start/end, varcount, views, downloads, url. Detail by idno returns the full DDI record.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-wbmicro-ng	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Nigeria	json:result.rows	50	World Bank Microdata Library — Nigeria datasets		ng_statistics	statistics	en	ng,statistics,batch17,high-penetrancy,detail-hop	86400	Nigeria survey/census microdata studies. Row: id, idno, doi, type, title, nation, authoring_entity, form_model, year_start/end, repositoryid, varcount, views, downloads, url. Detail by idno yields full DDI: producers, contact persons with email, nation list, sampling and access policy.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-wbmicro-ke	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Kenya	json:result.rows	50	World Bank Microdata Library — Kenya datasets		ke_statistics	statistics	en	ke,statistics,batch17,high-penetrancy,detail-hop	86400	Kenya survey/census microdata studies with idno, doi, authoring_entity, access class and year range; detail hop by idno returns the full DDI including producer and contact records.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-wbmicro-gh	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Ghana	json:result.rows	50	World Bank Microdata Library — Ghana datasets		gh_statistics	statistics	en	gh,statistics,batch17,high-penetrancy,detail-hop	86400	Ghana survey/census microdata studies; row carries idno, doi, title, authoring_entity, access class, year range, download counts. Detail by idno returns the full DDI study description.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-wbmicro-za	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=South%20Africa	json:result.rows	50	World Bank Microdata Library — South Africa datasets		za_statistics	statistics	en	za,statistics,batch17,high-penetrancy,detail-hop	86400	South Africa survey/census microdata studies with idno, doi, authoring_entity and access class; detail by idno returns producers, contacts and sampling.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-wbmicro-ug	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Uganda	json:result.rows	50	World Bank Microdata Library — Uganda datasets		ug_statistics	statistics	en	ug,statistics,batch17,high-penetrancy,detail-hop	86400	Uganda survey/census microdata studies; idno, doi, title, authoring_entity, year range, access class, downloads. Detail by idno returns the full DDI record.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
af-wbmicro-tz	https://microdata.worldbank.org/index.php/api/catalog/search?ps=50&country=Tanzania	json:result.rows	50	World Bank Microdata Library — Tanzania datasets		tz_statistics	statistics	en	tz,statistics,batch17,high-penetrancy,detail-hop	86400	Tanzania survey/census microdata studies with idno, doi, authoring_entity and access class; detail hop by idno returns full DDI metadata.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.
