id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description
us-usaspending-recipient-state-detail	https://api.usaspending.gov/api/v2/recipient/state/06/	json-object	1	USAspending state recipient profile		us_procurement	procurement	en	us,procurement,batch16,high-penetrancy	21600	Detail hop off the state list already in the tree: name, code, fips, type, population + pop_year + pop_source, median_household_income + mhi_year + mhi_source, total_prime_amount, total_prime_awards, award_amount_per_capita. Normalises federal money against population for any state/territory FIPS.
us-usaspending-federal-account-detail	https://api.usaspending.gov/api/v2/federal_accounts/020-0550/	json:children	1	USAspending federal account detail		us_procurement	procurement	en	us,procurement,batch16,high-penetrancy	21600	Detail hop: fiscal_year, id, agency_identifier, main_account_code, account_title, federal_account_code, parent_agency_toptier_code + name, bureau_name + bureau_slug, total_obligated_amount, total_gross_outlay_amount, total_budgetary_resources, and children[] listing each TAS under the account with its own obligated/outlay/budgetary_resources.
us-usaspending-agency-overview	https://api.usaspending.gov/api/v2/agency/012/	json:def_codes	16	USAspending agency profile		us_government	government	en	us,government,batch16,high-penetrancy,detail-hop	86400	Detail hop off a toptier agency code: fiscal_year, toptier_code, name, abbreviation, agency_id, mission statement, website, congressional_justification_url, subtier_agency_count, and def_codes[] listing every disaster/emergency funding statute the agency draws on (code, public_law, title, govinfo URL, disaster type).  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.
us-usaspending-agency-subagency	https://api.usaspending.gov/api/v2/agency/012/sub_agency/?fiscal_year=2024&limit=3	json:results	3	USAspending agency sub-agency and office breakdown		us_government	government	en	us,government,batch16,high-penetrancy	86400	Detail hop: each sub-tier agency (abbreviation, name, total_obligations, transaction_count, new_award_count) with a nested children[] array of the individual CONTRACTING OFFICES (code like 1234HK, name, obligations, transaction and new-award counts). Resolves federal money down to the specific office that signed it - 23 sub-agencies for USDA.
us-usaspending-agency-federal-account	https://api.usaspending.gov/api/v2/agency/012/federal_account/?fiscal_year=2024&limit=3	json:results	3	USAspending agency federal-account breakdown		us_government	government	en	us,government,batch16,high-penetrancy,detail-hop	86400	157 federal accounts for USDA FY2024, each with code, name, obligated_amount, gross_outlay_amount and children[] listing the treasury account symbols beneath it. The appropriations map of an agency.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.
us-usaspending-agency-object-class	https://api.usaspending.gov/api/v2/agency/012/object_class/?fiscal_year=2024	json:results	10	USAspending agency object-class breakdown		us_government	government	en	us,government,batch16,high-penetrancy	86400	30 object classes per agency-year with name, obligated_amount and gross_outlay_amount - what the money was spent ON (Grants subsidies and contributions, Insurance claims and indemnities, Personnel compensation, Equipment). Detects an agency's spending mix shifting.
us-usaspending-agency-program-activity	https://api.usaspending.gov/api/v2/agency/012/program_activity/?fiscal_year=2024&limit=3	json:results	3	USAspending agency program-activity breakdown		us_government	government	en	us,government,batch16,high-penetrancy	86400	457 named program activities for USDA FY2024 with obligated_amount and gross_outlay_amount (BENEFITS ISSUED, BELOW 130 OF POVERTY...). The programme dimension, finer than object class and usable as a filter back into award search.
us-usaspending-federal-obligations	https://api.usaspending.gov/api/v2/federal_obligations/?fiscal_year=2024&funding_agency_id=1173&limit=3	json:results	3	USAspending federal obligations by account		us_government	government	en	us,government,batch16,high-penetrancy	86400	176 account rows per agency-year with account_title, account_number and obligated_amount, plus page_metadata carrying explicit next/current/previous URLs for exhaustive pagination.
us-usaspending-reporting-agencies-overview	https://api.usaspending.gov/api/v2/reporting/agencies/overview/?fiscal_year=2024&fiscal_period=9&limit=3	json:results	3	USAspending agency data-quality overview		us_government	government	en	us,government,batch16,high-penetrancy,detail-hop	86400	111 agencies with agency_name, abbreviation, toptier_code, agency_id, current_total_budget_authority_amount, recent_publication_date, discrepancy_count, obligation_difference, unlinked contract/assistance award counts and assurance statement URL. This is the metadata that tells you how trustworthy an agency's reported spending is.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.
us-fpds-atom-vendor	https://www.fpds.gov/ezsearch/FEEDS/ATOM?FEEDNAME=PUBLIC&templateName=1.5.3&q=VENDOR_FULL_NAME%3A%22LOCKHEED+MARTIN+CORPORATION%22&rss=1	atom	10	FPDS-NG contract award ATOM feed by vendor		us_procurement	procurement	en	us,procurement,batch16,high-penetrancy,detail-hop	21600	The authoritative federal contract-writing system, keyless. 165 KB per page of Atom entries, each embedding the full FPDS award XML: awardID (PIID, modNumber, agencyID, referencedIDVID), relevantContractDates, dollarValues (obligatedAmount, baseAndExercisedOptionsValue, baseAndAllOptionsValue), purchaserInformation (contracting office agency + office code), vendor block (vendorName, UEI/CAGE/DUNS, full address, phone, business-size and socio-economic flags, parent vendor name and id), productOrServiceInformation (PSC, NAICS, principalNAICSCode), competition (extentCompeted, solicitationProcedures, numberOfOffersReceived, typeOfSetAside, evaluatedPreference) and placeOfPerformance. Query language accepts any FPDS field.  A per-record detail endpoint was verified for this source; see docs/verified-sources-batch16.md. This collector fetches the list endpoint only.
