id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description	_verdict	_note
af-nada-ng-nbs-microdata	https://microdata.nigerianstat.gov.ng/index.php/api/catalog/search?ps=100	json:result.rows	100	Nigeria NBS — National Data Archive (microdata catalogue)		ng_statistics	statistics	en	ng,statistics,batch17,high-penetrancy,detail-hop	86400	107 NBS surveys and statistical publications. Each row: id, idno (NGA-NBS-…), title, subtitle, nation, authoring_entity, year_start/end, varcount, total_views, total_downloads, created/changed, catalogue url. Detail hop by idno returns the full DDI: producers with affiliation and role, version statement, study scope, sampling, and a variable list (1,229 variables on the APRM survey).  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.	NET_ERR	_ssl.c:983: The handshake operation timed out
af-nada-ng-nbs-citations	https://microdata.nigerianstat.gov.ng/index.php/api/citations?ps=100	json:citations	1	Nigeria NBS — data-citation register		ng_statistics	statistics	en	ng,statistics,batch17,high-penetrancy,detail-hop	86400	Publications that cite NBS microdata. Row: id, uuid, title, subtitle, authors[] (fname/lname/author_type), editors, publisher, place_publication, volume, issue, edition, idnumber, url, page range, created/changed. Small (1 record today) but it is the author-to-dataset link.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.	NET_ERR	_ssl.c:983: The handshake operation timed out
capmas-news	https://www.capmas.gov.eg:8080/api/News	json:data	3454	CAPMAS Egypt statistical releases and news		eg_statistics	statistics	ar	eg,statistics,batch17,high-penetrancy,detail-hop	86400	3,454 CAPMAS releases: id, Arabic title, brief, full HTML content, image, publishDate, isPdf and pdfUrl, publicationId, newsCategory, tags, plus a newsTranslation array carrying the English title/brief/content. Detail hop by numeric id returns the single record. The bulk list is ~9.6MB per fetch.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.	TOO_BIG	over 8MB
ansd-appel-offre	https://www.ansd.sn/jsonapi/node/appel_d_offre	json:data	8	ANSD Senegal tender notices (JSON:API)		sn_procurement	procurement	fr	sn,procurement,batch17,high-penetrancy,detail-hop	21600	Senegal's national statistics agency tender notices as Drupal JSON:API nodes: uuid, attributes.title carrying the full reference (e.g. '03/2021/AON/ANSD/EHCVM - AVIS D'APPEL D'OFFRES'), body, created/changed dates, path alias and file relationships. Detail hop returns the single node with all fields and attachment relationships.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.	NET_ERR	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: 
ansd-actualite	https://www.ansd.sn/jsonapi/node/actualite	json:data	47	ANSD Senegal news items (JSON:API)		sn_statistics	statistics	fr	sn,statistics,batch17,high-penetrancy,detail-hop	86400	47 ANSD news nodes with uuid, French title (e.g. 'Financement du RGPH5 : les bailleurs s'engagent'), body HTML, publication and change timestamps, and image relationships. Detail hop returns the full node.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.	NET_ERR	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: 
ansd-lois-reglements	https://www.ansd.sn/jsonapi/node/lois_et_reglements	json:data	28	ANSD Senegal laws and regulations (JSON:API)		sn_legal	legal	fr	sn,legal,batch17,high-penetrancy,detail-hop	43200	28 Senegalese statistical-system legal instruments (laws, decrees, national strategies such as the Strategie Nationale de Developpement de la Statistique) with uuid, title, body, dates and attached document files. Detail hop returns the node plus file relationships.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.	NET_ERR	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: 
ansd-enquete-etude	https://www.ansd.sn/jsonapi/node/enquete_et_etude	json:data	46	ANSD Senegal surveys and studies (JSON:API)		sn_microdata	microdata	fr	sn,microdata,batch17,high-penetrancy,detail-hop	86400	46 ANSD survey/study nodes (e.g. 'Enquete harmonisee sur les Conditions de Vie des Menages') with uuid, title, description, dates and a field_lien_acces_donnees link object pointing at the microdata access page. Detail hop returns the node.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.	NET_ERR	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: 
ansd-indicateur-economique	https://www.ansd.sn/jsonapi/node/indicateur_economique	json:data	4	ANSD Senegal economic indicators (JSON:API)		sn_statistics	statistics	fr	sn,statistics,batch17,high-penetrancy,detail-hop	86400	Senegalese headline economic indicator nodes (e.g. 'PIB (trimestriel) a prix constant CVS') with uuid, title and an embedded field_don chart configuration carrying the actual series data collector tables. Detail hop returns the node with the full series payload.  A per-record detail endpoint was verified for this source; see the batch's detail-hops side-car. This collector fetches the list endpoint only.	NET_ERR	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: 
ansd-situation-eco-sociale	https://www.ansd.sn/jsonapi/node/situation_economique_et_social	json:data	50	ANSD Senegal economic and social situation reports (JSON:API)		sn_statistics	statistics	fr	sn,statistics,batch17,high-penetrancy	86400	50 chapters of Senegal's annual Situation Economique et Sociale with uuid, title, body and attached PDF relationships - the standing reference series on the Senegalese economy.	NET_ERR	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: 
ansd-flash-stat	https://www.ansd.sn/jsonapi/node/flash_stat	json:data	50	ANSD Senegal statistical flash bulletins (JSON:API)		sn_statistics	statistics	fr	sn,statistics,batch17,high-penetrancy	86400	50 monthly flash bulletins with uuid and dated titles carrying the headline result itself (e.g. 'Legere hausse du niveau general des prix - novembre'), body text and attached PDFs. The fastest-moving ANSD series.	NET_ERR	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: 
ansd-lois-rapport-activite	https://www.ansd.sn/jsonapi/node/rapport_d_activite_ansd	json:data	19	ANSD Senegal annual activity reports (JSON:API)		sn_government	government	fr	sn,government,batch17,high-penetrancy	86400	19 ANSD annual activity reports (through 'Rapport annuel d'activite 2025') with uuid, title, publication dates and attached report files.	NET_ERR	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: 
